"source_file","object_name","output_file","n_rows","status","error_message"
"adam_adae.rda","adam_adae","adam_adae.parquet",1191,"exported",""
"adam_adlbc.rda","adam_adlbc","adam_adlbc.parquet",74264,"exported",""
"adam_adlbh.rda","adam_adlbh","adam_adlbh.parquet",49932,"exported",""
"adam_adlbhy.rda","adam_adlbhy","adam_adlbhy.parquet",9954,"exported",""
"adam_adqsadas.rda","adam_adqsadas","adam_adqsadas.parquet",12463,"exported",""
"adam_adqscibc.rda","adam_adqscibc","adam_adqscibc.parquet",730,"exported",""
"adam_adqsnpix.rda","adam_adqsnpix","adam_adqsnpix.parquet",31140,"exported",""
"adam_adsl.rda","adam_adsl","adam_adsl.parquet",254,"exported",""
"adam_adtte.rda","adam_adtte","adam_adtte.parquet",254,"exported",""
"adam_advs.rda","adam_advs","adam_advs.parquet",32139,"exported",""
"sdtm_ae.rda","sdtm_ae","sdtm_ae.parquet",1191,"exported",""
"sdtm_cm.rda","sdtm_cm","sdtm_cm.parquet",7510,"exported",""
"sdtm_dm.rda","sdtm_dm","sdtm_dm.parquet",306,"exported",""
"sdtm_ds.rda","sdtm_ds","sdtm_ds.parquet",596,"exported",""
"sdtm_ex.rda","sdtm_ex","sdtm_ex.parquet",591,"exported",""
"sdtm_lb.rda","sdtm_lb","sdtm_lb.parquet",59580,"exported",""
"sdtm_mh.rda","sdtm_mh","sdtm_mh.parquet",1818,"exported",""
"sdtm_qs.rda","sdtm_qs","sdtm_qs.parquet",121749,"exported",""
"sdtm_relrec.rda","sdtm_relrec","sdtm_relrec.parquet",234,"exported",""
"sdtm_sc.rda","sdtm_sc","sdtm_sc.parquet",254,"exported",""
"sdtm_se.rda","sdtm_se","sdtm_se.parquet",752,"exported",""
"sdtm_suppae.rda","sdtm_suppae","sdtm_suppae.parquet",1191,"exported",""
"sdtm_suppdm.rda","sdtm_suppdm","sdtm_suppdm.parquet",1197,"exported",""
"sdtm_suppds.rda","sdtm_suppds","sdtm_suppds.parquet",3,"exported",""
"sdtm_supplb.rda","sdtm_supplb","sdtm_supplb.parquet",64403,"exported",""
"sdtm_sv.rda","sdtm_sv","sdtm_sv.parquet",3559,"exported",""
"sdtm_ta.rda","sdtm_ta","sdtm_ta.parquet",8,"exported",""
"sdtm_te.rda","sdtm_te","sdtm_te.parquet",7,"exported",""
"sdtm_ti.rda","sdtm_ti","sdtm_ti.parquet",31,"exported",""
"sdtm_ts.rda","sdtm_ts","sdtm_ts.parquet",33,"exported",""
"sdtm_tv.rda","sdtm_tv","sdtm_tv.parquet",21,"exported",""
"sdtm_vs.rda","sdtm_vs","sdtm_vs.parquet",29643,"exported",""
